LID_Type,Ratio,Total_Runoff,Peak_Runoff,Red_Total,Red_Peak
RAIN_GARDEN,69,24751.09394143252,1.5044441854607946,38.171510840287226,34.645178363282305
RAIN_GARDEN,70,24527.742572026676,1.5177757008998691,38.729444875639075,34.06604168138473
RAIN_GARDEN,71,24304.24450583239,1.531023413307814,39.28774536108867,33.49054550154435
RAIN_GARDEN,72,24080.631924192116,1.5442056236092114,39.84633190730905,32.91789481011198
RAIN_GARDEN,73,23857.24661166911,1.5573199021720452,40.404350732919326,32.348195153154805
RAIN_GARDEN,74,23633.905288999587,1.5703799321813803,40.96225967141973,31.780852117049506
RAIN_GARDEN,75,23410.02887870113,1.583390559316946,41.52150526436229,31.215655199779835
RAIN_GARDEN,76,23185.59856043236,1.5962369002549943,42.082134525154814,30.65759506780261
RAIN_GARDEN,77,22962.614254795288,1.6089971798173994,42.63915163140841,30.103273543019547
RAIN_GARDEN,78,22739.344418113375,1.621701008497052,43.196881997170976,29.5514043108567
RAIN_GARDEN,79,22516.03023140406,1.6343396838738198,43.754723149761574,29.00236541466127
RAIN_GARDEN,80,22292.643276395913,1.646895861422839,44.31274607831674,28.45691032095583
RAIN_GARDEN,81,22069.225670623,1.6593833173070687,44.870845572799944,27.91444057704823
RAIN_GARDEN,82,21846.11997953323,1.6718003636848766,45.4281659011723,27.375029504760462
RAIN_GARDEN,83,21622.701744018243,1.6841785867022383,45.98626696875772,26.83730496482919
RAIN_GARDEN,84,21399.18884277272,1.6964363584497375,46.54460451231902,26.30481296947076
RAIN_GARDEN,85,21175.63461212776,1.7085767755360592,47.10304529714843,25.777418998368475
RAIN_GARDEN,86,20952.176862530818,1.7356488817317732,47.66124507132006,24.60137492252311
RAIN_GARDEN,87,20728.85828746911,1.7735913890276398,48.21909718606041,22.9531078610158
RAIN_GARDEN,88,20505.430539040935,1.8040108261069063,48.777222017001556,21.631651801816165
RAIN_GARDEN,89,20281.483901646523,1.8263931804808797,49.33664303795757,20.65933605088467
RAIN_GARDEN,90,20057.70497235634,1.8398972543109429,49.89564512233129,20.072703229898682
RAIN_GARDEN,91,19833.91735853187,1.8436262349733197,50.45466890076163,19.910711932094728
RAIN_GARDEN,92,19614.52945230918,1.8362634527408261,51.00270216400886,20.230559836194416
RAIN_GARDEN,93,19386.305382275365,1.815095818569014,51.57280825602486,21.150106715460225
RAIN_GARDEN,94,19162.483411168512,1.7773508378599943,52.131917859302646,22.789792990138324
RAIN_GARDEN,95,18938.414396631077,1.737104150558038,52.691644579630136,24.538156336221828
RAIN_GARDEN,96,18714.776226357106,1.6957668546546478,53.250295046522666,26.333897000328164
RAIN_GARDEN,97,18491.154274884226,1.6533020147456565,53.808904998682,28.1786194997766
